class_number,course_id,grade,id,idnumber,mark,term_code,userid,username
10252,163601,D,139055,110439723,80,2405,95225,attry003
10252,163601,C,139056,110432270,69,2405,93981,benmy040
10252,163601,F2,139057,110380248,15,2405,45639,brijy031
10252,163601,D,139058,110435367,81,2405,94154,brony027
10252,163601,HD,139059,110439437,86,2405,95128,caray079
10252,163601,D,139060,110431933,75,2405,93737,chaly130
10252,163601,F2,139061,110434135,0,2405,94161,cofly002
10252,163601,F2,139062,110439186,13,2405,95164,comjy006
10252,163601,P1,139063,110437753,63,2405,94846,dalny016
10252,163601,D,139064,110438274,80,2405,94894,dodmy005
10252,163601,D,139065,110439397,76,2405,95066,galty014
10252,163601,D,139066,110430868,79,2405,93812,gatjy008
10252,163601,C,139067,110437299,70,2405,94533,griky020
10252,163601,D,139068,100031756,80,2405,94878,hantm002
10252,163601,D,139069,110242270,76,2405,51751,harsa020
10252,163601,P2,139070,110439729,52,2405,95219,haysy038
10252,163601,C,139071,110405502,65,2405,51056,hewcy009
10252,163601,C,139072,110438405,72,2405,94911,hilby015
10252,163601,HD,139073,110304565,85,2405,93465,hocms001
10252,163601,C,139074,110437719,67,2405,94546,hunty013
10252,163601,D,139075,110432264,81,2405,93854,innjy005
10252,163601,F2,139076,110439303,2,2405,95147,jalmy009
10252,163601,C,139077,110350636,65,2405,95176,kemmy007
10252,163601,P1,139078,110378591,59,2405,44178,kukhy001
10252,163601,D,139079,110439744,76,2405,95191,laiby007
10252,163601,P1,139080,110431491,58,2405,93794,levdy001
10252,163601,D,139081,110439381,75,2405,95051,magmy025
10252,163601,D,139082,110421136,76,2405,94519,mcady007
10252,163601,F2,139083,110431706,16,2405,93799,mcksy038
10252,163601,HD,139084,110437793,85,2405,94693,merty007
10252,163601,C,139085,110438299,66,2405,94775,mesfy001
10252,163601,F2,139086,110364619,0,2405,41135,molay015
10252,163601,D,139087,110432617,78,2405,94090,mudry001
10252,163601,P1,139088,110433022,58,2405,93836,murmy041
10252,163601,D,139089,110437723,81,2405,94881,nicsy031
10252,163601,C,139090,110274638,70,2405,95098,oweds001
10252,163601,D,139091,110433472,83,2405,94030,paajy001
10252,163601,F2,139092,110439269,37,2405,95056,parry051
10252,163601,I,139093,110438559,,2405,94764,payiy002
10252,163601,C,139094,110430315,73,2405,93443,peagy008
10252,163601,C,139095,110258284,65,2405,34546,percj006
10252,163601,P1,139096,110434485,60,2405,95065,phaky024
10252,163601,D,139097,110147642,76,2405,95007,porsw001
10252,163601,D,139098,110439297,78,2405,95114,puldy007
10252,163601,P1,139100,110437005,59,2405,94853,reeby005
10252,163601,C,139101,110431835,69,2405,93727,renly010
10252,163601,P1,139102,110438345,59,2405,94722,rusgy007
10252,163601,F2,139103,110439291,6,2405,95009,seaay011
10252,163601,C,139104,110438406,65,2405,94836,steay073
10252,163601,C,139105,110365926,69,2405,94193,talsy015
10252,163601,D,139106,110437806,82,2405,94951,tokly002
10252,163601,F2,139107,110382325,0,2405,93686,tomty005
10252,163601,F2,139108,110433924,12,2405,93984,tomgy003
10252,163601,D,139109,110439271,76,2405,95097,tucdy003
10252,163601,F2,139110,110438935,25,2405,95194,turay021
10252,163601,C,139111,110235088,67,2405,94640,viljy004
10252,163601,F2,139112,110418661,28,2405,93626,whehy001
10252,163601,HD,139113,110430354,85,2405,93791,yanty027
10252,163601,F2,139114,110220772,28,2405,93333,mohfy023
10253,163601,P1,139115,110435772,63,2405,94278,atkzy002
10253,163601,C,139116,110439047,68,2405,95085,belmy040
10253,163601,D,139117,110438036,83,2405,94660,bodjy006
10253,163601,F2,139118,100040154,0,2405,47785,bornt001
10253,163601,P1,139119,110433468,62,2405,93853,braky046
10253,163601,F1,139120,110388872,46,2405,47135,burmy032
10253,163601,P1,139121,110438985,55,2405,94914,chaey035
10253,163601,D,139122,110437148,76,2405,94612,claky019
10253,163601,C,139123,110433527,70,2405,95240,claey020
10253,163601,C,139124,110411353,68,2405,94080,contj007
10253,163601,F2,139125,110430643,0,2405,93367,dobsy010
10253,163601,C,139126,110439695,68,2405,95161,dohjy004
10253,163601,C,139127,110438024,72,2405,95103,douny012
10253,163601,C,139128,110438207,67,2405,94850,edway014
10253,163601,C,139129,110433456,74,2405,93845,fisyy001
10253,163601,F2,139130,110235057,9,2405,52121,framy015
10253,163601,D,139131,110438418,75,2405,94942,germy017
10253,163601,C,139132,110289547,69,2405,94880,glady008
10253,163601,P2,139133,110037405,50,2405,94430,golja006
10253,163601,C,139134,110438620,74,2405,95001,greiy005
10253,163601,C,139135,110435601,65,2405,94481,handy030
10253,163601,D,139136,110438015,82,2405,94644,harny036
10253,163601,F2,139137,110157148,2,2405,95159,heltm002
10253,163601,D,139138,110438822,76,2405,94883,holcy023
10253,163601,P1,139139,110375922,61,2405,51125,hoszy005
10253,163601,C,139140,110438610,69,2405,95105,ikicy001
10253,163601,C,139141,110434558,66,2405,94105,jamty006
10253,163601,F1,139142,110404288,46,2405,51394,jarsy014
10253,163601,D,139143,110439407,82,2405,95057,johgy013
10253,163601,D,139144,110415884,81,2405,93761,jonay043
10253,163601,C,139145,110438865,69,2405,95143,kahmy006
10253,163601,F2,139146,110401563,27,2405,50545,kolsy012
10253,163601,D,139147,110437458,75,2405,94537,lowsy037
10253,163601,C,139148,110438250,73,2405,95090,macay061
10253,163601,C,139149,110412556,67,2405,51971,malpy019
10253,163601,D,139150,09702443K,79,2405,93823,lofjl001
10253,163601,F2,139151,110327315,0,2405,93611,muigy001
10253,163601,HD,139152,110433361,86,2405,93861,newgy005
10253,163601,P1,139153,110435665,62,2405,94257,pasty009
10253,163601,D,139154,110433033,81,2405,93822,salvy006
10253,163601,D,139155,110438099,76,2405,94742,sancy029
10253,163601,D,139156,110431498,75,2405,94132,spisy007
10253,163601,HD,139157,110439349,86,2405,95050,waldy040
10253,163601,C,139158,110279208,73,2405,51973,wargm002
10253,163601,D,139159,110439466,76,2405,95122,wescy011
10253,163601,F2,139160,110437464,38,2405,94549,worhy003
10254,163601,F2,139176,110356396,0,2405,36339,bonmy018
10254,163601,D,139177,110433159,82,2405,93843,davcy038
10254,163601,D,139178,110434916,82,2405,94429,dodby003
10254,163601,P1,139179,110439074,55,2405,94956,doury009
10254,163601,D,139180,110293526,80,2405,94459,dunsy028
10254,163601,C,139181,110437720,74,2405,94576,fraty012
10254,163601,D,139182,110434793,84,2405,94127,gesky001
10254,163601,D,139183,110433271,79,2405,94192,kedvy001
10254,163601,HD,139184,110429773,86,2405,93441,lawby012
10254,163601,F2,139185,00109726,7,2405,95144,walay08f
10254,163601,D,139186,110429583,83,2405,93825,matdy032
10254,163601,D,139187,110430523,78,2405,94431,melmy010
10254,163601,P1,139188,110326812,55,2405,24535,mudcy006
10254,163601,C,139189,110406141,71,2405,51408,notsy003
10254,163601,D,139190,110435296,80,2405,94416,oloky007
10254,163601,F2,139191,110317946,16,2405,74099,palmr002
10254,163601,I,139192,110433912,,2405,94403,pinhy005
10254,163601,C,139193,110212529,72,2405,13707,plamy009
10254,163601,F2,139194,110430074,25,2405,93050,praly006
10254,163601,P1,139195,110439320,64,2405,95167,qurny001
10254,163601,F2,139196,110386514,18,2405,46710,robey022
10254,163601,C,139197,110428058,74,2405,93904,tepjy002
10254,163601,C,139198,110256082,66,2405,29217,tomik001
10254,163601,D,139199,110434532,75,2405,94178,warfy006
10254,163601,F2,139200,110243866,18,2405,46002,wesca004
10255,163601,D,139201,110398192,76,2405,93896,armhj001
10255,163601,F2,139202,110267154,22,2405,45321,allay020
10255,163601,D,139203,110437641,75,2405,94753,catty003
10255,163601,C,139204,110437751,66,2405,94639,chajy159
10255,163601,D,139205,110431157,80,2405,93620,cimdy001
10255,163601,D,139206,110435294,82,2405,94156,cragy005
10255,163601,F2,139207,110428334,28,2405,92803,cungy002
10255,163601,F2,139208,110430118,32,2405,93473,earcy005
10255,163601,F2,139209,110350508,14,2405,63360,facsa001
10255,163601,D,139210,110436730,76,2405,94571,flycy002
10255,163601,C,139211,110434524,71,2405,94086,giley011
10255,163601,C,139212,110030200,67,2405,93807,hibey001
10255,163601,P1,139213,110430574,63,2405,93437,hilky020
10255,163601,F2,139214,110225053,36,2405,63145,hirml002
10255,163601,D,139215,110434131,81,2405,94584,hogiy001
10255,163601,P2,139216,110255075,53,2405,94189,khecy002
10255,163601,C,139217,110432118,72,2405,94199,lakgy004
10255,163601,F2,139218,110397238,38,2405,51484,mccey014
10255,163601,D,139219,110435389,75,2405,94163,mcmly010
10255,163601,C,139220,110319316,72,2405,94382,mctcp001
10255,163601,D,139221,110437441,81,2405,94616,mitjy038
10255,163601,D,139222,110364090,76,2405,40989,moony012
10255,163601,F2,139223,110438539,22,2405,94849,nelry007
10255,163601,C,139224,110438661,66,2405,95226,sarjy013
10255,163601,F2,139225,110435222,12,2405,94155,spily011
10255,163601,P1,139226,110431122,60,2405,94130,strcy018
10255,163601,C,139227,110433923,69,2405,94179,sukcy002
10255,163601,C,139228,110433008,66,2405,93813,tatcy008
10255,163601,P1,139229,110434013,56,2405,94031,tonmy020
10256,163601,P1,139230,110438021,55,2405,95262,alkjy004
10256,163601,C,139231,110439198,66,2405,94991,canry012
10256,163601,P1,139232,110410838,56,2405,94005,deyhp002
10256,163601,D,139233,110433481,75,2405,94007,eyesy001
10256,163601,I,139234,110438560,,2405,94832,galhy004
10256,163601,P2,139235,110367868,50,2405,50777,hofla002
10256,163601,HD,139236,110437644,86,2405,94550,litey004
10256,163601,P1,139237,110432665,64,2405,93900,peasy019
10256,163601,F1,139238,110438678,45,2405,95040,reiby009
10257,163601,P1,139239,110436549,63,2405,94462,annjy009
10257,163601,F2,139240,110433878,0,2405,93941,armmy017
10257,163601,C,139241,110434115,68,2405,94006,batjy025
10257,163601,C,139242,110439005,70,2405,94926,botjy008
10257,163601,D,139243,110015971,80,2405,94094,canjr001
10257,163601,P2,139244,110434025,53,2405,94109,colsy053
10257,163601,C,139245,110431190,70,2405,93382,daljy018
10257,163601,C,139246,110432209,72,2405,93736,davdy028
10257,163601,D,139247,110435961,75,2405,94398,doaoy001
10257,163601,D,139248,110437337,81,2405,94520,drejy009
10257,163601,C,139249,110439015,74,2405,95183,faycy002
10257,163601,P1,139250,110352840,61,2405,56965,hamsj008
10257,163601,D,139251,110433032,82,2405,93815,hutjy011
10257,163601,F2,139252,110418293,0,2405,53365,jovmy004
10257,163601,D,139253,110428176,78,2405,93417,keejy011
10257,163601,P2,139254,110430745,53,2405,93592,kolty003
10257,163601,P2,139255,110400291,53,2405,50186,lathy005
10257,163601,P2,139256,110439077,51,2405,95046,lawty019
10257,163601,D,139257,110438557,82,2405,94830,manjy058
10257,163601,D,139258,110434325,78,2405,94165,marsy117
10257,163601,F2,139259,110411655,28,2405,81796,mccjd007
10257,163601,F2,139260,110158487,6,2405,94260,mcgmk002
10257,163601,C,139261,110418026,72,2405,53363,mckay021
10257,163601,C,139262,110434143,72,2405,94029,milpy020
10257,163601,I,139263,110357422,,2405,37199,miljy063
10257,163601,C,139264,110429199,70,2405,93446,morly038
10257,163601,P1,139265,110408150,62,2405,52187,morey026
10257,163601,D,139266,110439495,82,2405,95042,muiay008
10257,163601,F2,139267,110434289,6,2405,94024,myljy003
10257,163601,D,139268,110434078,75,2405,94043,orely004
10257,163601,C,139269,110422013,68,2405,54500,parsy127
10257,163601,D,139270,110438821,78,2405,95222,patpy075
10257,163601,C,139271,110435533,74,2405,94405,pugry002
10257,163601,C,139272,110432317,72,2405,93797,robcy036
10257,163601,D,139273,110422633,81,2405,54791,rowly009
10257,163601,C,139274,110430301,73,2405,93067,rusgy005
10257,163601,C,139275,110437338,65,2405,94749,saysy008
10257,163601,C,139276,110439298,67,2405,95043,mnpqy032
10257,163601,C,139277,110415350,71,2405,52502,soney004
10257,163601,D,139278,110421287,83,2405,94069,szijy001
10257,163601,F2,139279,110436316,15,2405,94376,taumy006
10257,163601,F2,139280,110428278,8,2405,92659,xbvnn005
10257,163601,C,139281,110395493,70,2405,49592,todky006
10257,163601,D,139282,110061832,76,2405,18704,tompj002
10257,163601,F2,139283,110329887,27,2405,94535,towjm002
10257,163601,P2,139284,110436260,51,2405,94611,tregy003
10257,163601,HD,139285,110434508,85,2405,94071,wauay006
10257,163601,P1,139286,110438240,63,2405,94768,webcy018
10257,163601,P1,139287,110433706,64,2405,93985,weijy038
10257,163601,D,139288,110437457,82,2405,94573,wilty073
10257,163601,C,139289,110436582,69,2405,94968,wiljy145
10257,163601,D,139290,110435419,75,2405,94180,zapiy004
10257,163601,C,139291,110422941,69,2405,92230,zhumy020
10258,163601,D,139292,110432620,75,2405,94638,chacy279
10258,163601,D,139293,00106356F,75,2405,94710,davlj006
10258,163601,P2,139294,110287948,54,2405,93841,grilc004
10258,163601,D,139295,110426050,79,2405,93778,klely005
10258,163601,D,139296,110430884,82,2405,93840,miety003
10258,163601,D,139297,110229903,75,2405,94712,morcj018
10258,163601,P1,139298,100100130,64,2405,95021,rohjt001
10258,163601,P1,139299,110439440,55,2405,95082,shafy036
10258,163601,C,139300,110438366,71,2405,94954,smiey034
10258,163601,C,139301,110365457,69,2405,91361,snajy002
10258,163601,P1,139302,110437810,60,2405,94708,strjy019
10252,163601,I,139099,110418945,,2405,54683,pursy012
30263,163601,HD,146503,110448057,85,2412,97515,wehmy001
30219,163601,D,146577,110446027,79,2412,95497,braly031
30219,163601,D,146578,110447325,82,2412,96018,wiljy146
30219,163601,D,146579,110043638,75,2412,95406,stukr001
30219,163601,C,146580,110284479,69,2412,17753,stejs006
30219,163601,D,146581,110432180,77,2412,96164,shiar003
30219,163601,P1,146582,110439206,55,2412,95427,shejy051
30219,163601,D,146583,110449012,78,2412,96370,wonhy109
30219,163601,P1,146584,110299502,63,2412,97251,ouday001
30219,163601,D,146585,110437258,75,2412,95112,milay066
30219,163601,F2,146586,110448622,5,2412,96342,manay095
30219,163601,F2,146587,110437812,0,2412,94943,jukay002
30219,163601,P1,146588,110435654,62,2412,94522,gapny001
30219,163601,P2,146589,110441250,51,2412,95342,chaay157
30219,163601,D,146590,110447460,78,2412,95867,niisy001
30219,163601,P1,146591,110446587,58,2412,96819,zaiyy002
30218,163601,F2,146592,110230586,0,2412,40835,ahmsy036
30218,163601,D,146593,110364256,83,2412,40572,bansy026
30218,163601,C,146594,110394497,72,2412,52082,beekj005
30218,163601,D,146595,110449480,76,2412,96465,bergy010
30218,163601,F2,146596,110448755,35,2412,96247,brufy004
30218,163601,D,146597,110446285,79,2412,95683,bryzy002
30218,163601,F2,146598,110361420,0,2412,39082,burgy017
30218,163601,C,146599,110448464,65,2412,96420,cetgy001
30218,163601,C,146600,00046303,66,2412,96297,chanl01f
30218,163601,F2,146601,110379253,18,2412,76001,craey007
30218,163601,F2,146602,00082980,16,2412,96216,cletl01f
30218,163601,P2,146603,110445782,50,2412,95866,damey002
30218,163601,D,146604,110446107,79,2412,95764,dooay005
30218,163601,D,146605,110447346,79,2412,95859,elkly003
30218,163601,C,146606,110442573,65,2412,97181,ermjm001
30218,163601,C,146607,110441129,68,2412,95817,flemy012
30218,163601,P2,146608,110450408,52,2412,97059,forgy010
30218,163601,C,146609,110409036,65,2412,54405,heaar002
30218,163601,P2,146610,110448382,51,2412,96113,iakey001
30218,163601,P1,146611,110438827,57,2412,95016,jeccy001
30218,163601,C,146612,110428163,65,2412,96643,ghajy008
30218,163601,F2,146613,09409902F,0,2412,11791,koojs001
30218,163601,P2,146614,110397331,51,2412,49700,kooam001
30218,163601,F2,146615,110447672,14,2412,95932,letgy002
30218,163601,D,146616,110441053,75,2412,95272,lucjy012
30218,163601,F2,146617,110446712,0,2412,97301,mcajy009
30218,163601,F2,146618,110450884,0,2412,97258,miyty004
30218,163601,F2,146619,110446506,7,2412,96506,namay009
30218,163601,D,146620,110396074,83,2412,95503,prany012
30218,163601,C,146621,110446099,69,2412,95494,raury003
30218,163601,F2,146622,110429746,15,2412,96371,reelj003
30218,163601,HD,146623,110446566,86,2412,95760,ricsy037
30218,163601,D,146624,110449223,83,2412,96594,rogcy010
30218,163601,C,146625,110448806,71,2412,96246,rosjy039
30218,163601,D,146626,110257597,83,2412,68824,schgr003
30218,163601,C,146627,110439481,66,2412,95580,shefy012
30218,163601,F2,146628,110122959,0,2412,97300,skimy003
30218,163601,F1,146629,110439707,47,2412,95868,smiky071
30218,163601,C,146630,110449622,74,2412,96846,stehy023
30218,163601,D,146631,110440756,77,2412,95493,styty004
30218,163601,D,146632,110438451,82,2412,94967,tewdy001
30218,163601,F1,146633,110449595,43,2412,97189,thogy024
30218,163601,C,146634,110447340,70,2412,96341,upcay001
30218,163601,P1,146635,110447977,63,2412,96600,wesmy023
30218,163601,P1,146636,110448536,61,2412,96214,whimy038
30218,163601,C,146637,110447303,69,2412,95903,wilty074
30218,163601,F2,146638,110293135,31,2412,26905,wilay105
30218,163601,C,146639,110449358,73,2412,96468,wiley050
30218,163601,P2,146640,110450406,50,2412,96923,wilmy117
30218,163601,C,146641,110450308,71,2412,96948,wiley051
30218,163601,D,146642,110436524,83,2412,96924,wilry069
30218,163601,P1,146643,110349381,62,2412,35544,wisfy001
30218,163601,C,146644,110449011,69,2412,96427,wraey002
30218,163601,C,146645,110446721,72,2412,95739,zimly003
30215,163601,D,146646,110451101,75,2412,97269,anhzy011
30215,163601,P1,146647,110441117,60,2412,95279,baurc002
30215,163601,C,146648,110441833,65,2412,95417,bordm001
30215,163601,D,146649,110450815,79,2412,97156,bosny005
30215,163601,D,146650,110446457,75,2412,95761,cosmy020
30215,163601,D,146651,110448517,76,2412,97202,danjy045
30215,163601,P2,146652,110430139,52,2412,93202,dargy005
30215,163601,F2,146653,110301537,24,2412,96249,erdyy001
30215,163601,D,146654,110450293,79,2412,97190,hiniy001
30215,163601,C,146655,110450181,68,2412,97253,kamay020
30215,163601,C,146656,110446586,65,2412,96221,leaky010
30215,163601,P1,146657,110010613,59,2412,92878,lisbm001
30215,163601,F2,146658,110182736,0,2412,96415,matnr004
30215,163601,C,146659,110449424,68,2412,96504,panay062
30215,163601,C,146660,110042424,72,2412,96461,panjy019
30215,163601,HD,146661,110441595,85,2412,95820,satky007
30215,163601,P1,146662,110440970,61,2412,95270,tsoey004
30215,163601,C,146663,110095287,66,2412,95457,vantr001
30215,163601,C,146666,110440944,66,2412,95341,wincy007
30214,163601,P1,146667,110446589,60,2412,96818,aryay009
30214,163601,D,146668,110433784,78,2412,95249,zxwqy002
30214,163601,C,146669,110450453,69,2412,97008,birsy013
30214,163601,P1,146670,110384430,59,2412,45762,brokl022
30214,163601,D,146671,110333013,75,2412,30402,broec005
30214,163601,P1,146672,110450885,61,2412,97209,buray051
30214,163601,P1,146673,110407935,63,2412,95578,carcy062
30214,163601,P1,146674,110406973,55,2412,95837,casey013
30214,163601,F2,146675,110432864,10,2412,93837,chasy333
30214,163601,P1,146676,110444277,61,2412,96206,chaci001
30214,163601,C,146677,110449009,68,2412,97154,boryy002
30214,163601,D,146678,110357164,75,2412,51797,cofej002
30214,163601,C,146679,110441151,71,2412,95522,coxay010
30214,163601,C,146680,110064609,71,2412,96630,devbc001
30214,163601,C,146681,110447564,69,2412,96240,dunkn001
30214,163601,D,146682,110449760,82,2412,96592,ezzsy002
30214,163601,C,146683,110441108,71,2412,95356,haiky011
30214,163601,D,146684,110446709,75,2412,96173,harjy128
30214,163601,C,146685,110449014,67,2412,97083,hilly012
30214,163601,P1,146686,110449402,59,2412,96564,hocjy006
30214,163601,C,146687,110441295,68,2412,96079,kamjn001
30214,163601,F2,146688,110406199,4,2412,51364,karsy065
30214,163601,C,146689,110441606,68,2412,95520,kilby006
30214,163601,F2,146690,110446190,30,2412,95579,leehy116
30214,163601,D,146691,09304860D,80,2412,94623,leiss001
30214,163601,F1,146692,110269035,45,2412,77446,litcy007
30214,163601,P1,146693,110441590,62,2412,95391,manay094
30214,163601,F1,146694,110451061,43,2412,97298,marjy149
30214,163601,D,146695,110449499,77,2412,96742,mcoty001
30214,163601,F2,146696,100004594,17,2412,96373,mudly001
30214,163601,D,146697,110082829,76,2412,95013,newca004
30214,163601,F2,146698,110404153,25,2412,51372,nicsy030
30214,163601,D,146699,110339339,78,2412,31968,peary014
30214,163601,P1,146700,09806016P,60,2412,95898,reiml001
30214,163601,F2,146701,110204273,0,2412,97006,sanci001
30214,163601,C,146702,110341367,68,2412,32680,seeey002
30214,163601,C,146703,110427240,65,2412,95686,sivsy020
30214,163601,C,146704,110446432,71,2412,97120,vaniy009
30214,163601,F1,146705,110451080,41,2412,97194,veiay002
30217,163601,HD,146706,110449342,89,2412,96463,braky047
30217,163601,D,146707,110448987,83,2412,96464,geley001
30217,163601,D,146708,110450038,75,2412,96735,lammy046
30217,163601,I,146709,110446171,,2412,95495,lonky010
30217,163601,C,146710,110446706,73,2412,95819,morny024
30217,163601,I,146711,110445925,,2412,95496,olily009
30217,163601,C,146712,110436791,70,2412,94593,penly015
30217,163601,P1,146713,110231134,58,2412,93776,scorl003
30217,163601,P1,146714,110305244,57,2412,95441,walcy052
30213,163601,P1,146715,110447426,55,2412,96255,awary002
30213,163601,D,146716,110441298,78,2412,95499,baxcy004
30213,163601,D,146717,110451162,75,2412,97267,brojy074
30213,163601,D,146718,110449388,76,2412,96926,canry013
30213,163601,D,146719,110410342,77,2412,96553,dadej001
30213,163601,C,146720,110198261,71,2412,96664,docsj001
30213,163601,F2,146721,110446092,30,2412,95731,fyfry001
30213,163601,C,146722,110441160,70,2412,95525,garay048
30213,163601,P2,146723,100060401,53,2412,96115,greeb001
30213,163601,P2,146724,110434564,53,2412,96951,hidjy002
30213,163601,D,146725,110440311,81,2412,95351,humty004
30213,163601,P1,146726,110450341,59,2412,96962,johry031
30213,163601,F2,146727,110446869,24,2412,95775,kerey008
30213,163601,F2,146728,110413644,13,2412,82425,kleaj004
30213,163601,D,146729,110448834,77,2412,96379,mcmny004
30213,163601,C,146730,110447844,68,2412,96005,mooky015
30213,163601,D,146731,110446484,80,2412,95846,morsy066
30213,163601,P1,146732,110443967,64,2412,95835,murak002
30213,163601,C,146733,110430428,74,2412,93682,pasmy021
30213,163601,C,146734,110440947,66,2412,95407,pracy009
30213,163601,D,146735,110449702,81,2412,96770,priby012
30213,163601,F2,146736,110449709,5,2412,96604,qamhy002
30213,163601,C,146737,110445687,66,2412,95433,quisa008
30213,163601,C,146738,110231102,66,2412,97123,resjr001
30213,163601,C,146739,110446562,73,2412,96430,satja001
30213,163601,F2,146740,110167920,4,2412,96006,scrty001
30213,163601,D,146741,110410226,76,2412,80629,sencm001
30213,163601,P1,146742,110355070,60,2412,36640,steby029
30213,163601,C,146743,110277259,67,2412,15939,tatre001
30213,163601,F2,146744,110450320,2,2412,97265,taysy050
30213,163601,F2,146745,110382325,5,2412,93686,tomty005
30213,163601,C,146746,110438820,67,2412,94909,wegjy002
30213,163601,C,146747,110448469,73,2412,96411,lpmqw089
30213,163601,D,146748,110447236,81,2412,96150,wolly006
30213,163601,F2,146749,110220772,32,2412,93333,mohfy023
30216,163601,F2,146750,110439701,34,2412,95970,argky001
30216,163601,F2,146751,110434616,32,2412,94103,beamy020
30216,163601,F1,146752,110375583,45,2412,90864,bency021
30216,163601,C,146753,110450023,73,2412,96807,caldy018
30216,163601,F2,146754,110321081,29,2412,22184,cliky007
30216,163601,C,146755,110449567,67,2412,96816,conjy029
30216,163601,D,146756,110446548,81,2412,95870,davsy050
30216,163601,F2,146757,110271739,14,2412,96300,doumy009
30216,163601,C,146758,110413827,70,2412,69215,giegy002
30216,163601,P1,146759,110447951,60,2412,96167,golay019
30216,163601,P2,146760,110449006,54,2412,97003,grasy048
30216,163601,P1,146761,110392475,62,2412,96668,fxcqs015
30216,163601,F2,146762,110451062,0,2412,97195,harny038
30216,163601,C,146763,110367458,68,2412,96599,hiljy042
30216,163601,F2,146764,110437685,6,2412,96568,hinry003
30216,163601,D,146765,110429399,77,2412,97157,hochy004
30216,163601,C,146766,110178010,69,2412,29393,kataj004
30216,163601,D,146767,110441641,79,2412,96174,midey001
30216,163601,D,146768,110363442,78,2412,43874,mozmy002
30216,163601,D,146769,110359305,83,2412,37881,munsy030
30216,163601,P1,146770,110431643,55,2412,94503,nieiy002
30216,163601,F2,146771,100014740,0,2412,55248,palmj007
30216,163601,D,146772,110451224,82,2412,97494,perwm001
30216,163601,F1,146773,110430142,46,2412,93136,ricry021
30216,163601,C,146774,110451045,65,2412,97208,rusky013
30216,163601,P1,146775,110341046,63,2412,97448,solcy008
30216,163601,P2,146776,110445848,53,2412,95645,stebj014
30216,163601,F2,146777,110267388,32,2412,96278,vangc001
30216,163601,C,146778,110408896,73,2412,96239,vaupy004
30216,163601,C,146779,110448754,69,2412,96258,walty039
30216,163601,D,146780,110449528,76,2412,96499,webay009
30216,163601,D,146781,110450270,81,2412,96815,whigy006
30216,163601,D,146782,110437357,78,2412,97043,zuhfs001
30215,163601,P1,146664,110438312,56,2412,96505,visey001
30215,163601,P1,146665,110449582,55,2412,96513,vissy010
40481,163601,F2,151490,110452294,36,2414,97768,dubjy003
40385,163601,F1,151547,110454982,42,2414,98357,andcy042
40385,163601,D,151548,110455777,84,2414,98688,behoy001
40385,163601,P1,151549,110453531,63,2414,98077,cardz001
40385,163601,P1,151550,110432133,56,2414,94737,harpy027
40385,163601,D,151551,110453482,77,2414,98040,heajy025
40385,163601,C,151552,110448328,66,2414,96081,johry030
40385,163601,F2,151553,00103004M,0,2414,97729,liytz001
40385,163601,D,151554,110447469,79,2414,97714,simcy027
40385,163601,P1,151555,110451530,63,2414,97489,tueby001
40385,163601,P2,151556,110441159,52,2414,95343,watjy043
40383,163601,P1,151687,110439696,63,2414,95271,adasy021
40383,163601,F1,151688,110285019,44,2414,97451,eaghp001
40383,163601,C,151689,110454560,68,2414,98176,fabey001
40383,163601,F2,151690,110374364,2,2414,78241,faijj001
40383,163601,C,151691,110374689,66,2414,94762,fioad001
40383,163601,F2,151692,110373132,26,2414,79354,khomj003
40383,163601,P1,151693,110453871,59,2414,98486,lancy034
40383,163601,C,151694,110448937,70,2414,97186,obray010
40383,163601,C,151695,110454907,73,2414,98286,writy009
40379,163601,C,151696,110454820,65,2414,98671,angcy015
40379,163601,P1,151697,110455591,62,2414,98571,batmy024
40379,163601,P1,151698,110335047,59,2414,32382,bissy012
40379,163601,P2,151699,110451425,51,2414,97450,brosy060
40379,163601,D,151700,110453277,78,2414,97820,bucjy022
40379,163601,HD,151701,110452882,85,2414,97804,chaty151
40379,163601,D,151702,110452603,82,2414,97848,diefy001
40379,163601,P1,151703,110453439,55,2414,97990,hewcy011
40379,163601,P1,151704,110453200,61,2414,97759,kaway006
40379,163601,C,151705,110451165,68,2414,97445,koysy011
40379,163601,C,151706,110452678,72,2414,97833,lazdy005
40379,163601,C,151707,110451738,73,2414,98198,lescy005
40379,163601,C,151708,110455056,70,2414,98331,mcljy024
40379,163601,P1,151709,110441741,63,2414,96608,molly004
40379,163601,C,151710,110279260,68,2414,97829,ndaey002
40379,163601,C,151711,110455723,73,2414,98622,picsy008
40379,163601,F2,151712,110389218,39,2414,54984,zakmy011
40379,163601,C,151713,110220772,67,2414,93333,mohfy023
40464,163601,C,151714,110455366,72,2414,98432,davty021
40464,163601,P2,151715,110314099,50,2414,23413,otoay001
40381,163601,F2,151716,110255950,23,2414,27661,ajaay004
40381,163601,C,151717,110418033,72,2414,53471,brojy068
40381,163601,P1,151718,110455111,62,2414,98472,covcy003
40381,163601,P2,151719,110439179,52,2414,98742,gulby003
40381,163601,C,151720,110454080,69,2414,98197,hatky014
40381,163601,C,151721,110454190,70,2414,98438,howvy002
40381,163601,C,151722,110455000,68,2414,98334,jonry031
40381,163601,D,151723,110452655,75,2414,97932,kenjy028
40381,163601,P2,151724,110232133,53,2414,97517,korjy003
